Rank	Site	Category	Unique Visitors (users)	Reach	Page Views	Has Advertising
1	facebook.com	Social Networks	880,000,000	47.2%	910,000,000,000	Yes
2	youtube.com	Online Video	800,000,000	42.7%	100,000,000,000	Yes
3	yahoo.com	Web Portals	660,000,000	35.3%	77,000,000,000	Yes
4	live.com	Search Engines	550,000,000	29.3%	36,000,000,000	Yes
5	wikipedia.org	Dictionaries & Encyclopedias	490,000,000	26.2%	7,000,000,000	No
6	msn.com	Web Portals	450,000,000	24%	15,000,000,000	Yes
7	blogspot.com	Blogging Resources & Services	410,000,000	21.9%	5,400,000,000	Yes
8	baidu.com	Search Engines	340,000,000	18%	110,000,000,000	Yes
9	bing.com	Search Engines	340,000,000	18.3%	11,000,000,000	Yes
10	microsoft.com	Software	340,000,000	18.3%	2,700,000,000	Yes
11	qq.com	Web Portals	280,000,000	15%	44,000,000,000	Yes
12	ask.com	Search Engines	210,000,000	11.2%	2,000,000,000	Yes
13	taobao.com	Classifieds	190,000,000	10.3%	30,000,000,000	Yes
14	adobe.com	Multimedia Software	170,000,000	9.2%	1,000,000,000	No
15	wordpress.com	Blogging Resources & Services	170,000,000	9.2%	1,000,000,000	Yes
16	twitter.com	Email & Messaging	160,000,000	8.4%	6,000,000,000	Yes
17	youku.com	Online Video	160,000,000	8.4%	3,600,000,000	Yes
18	soso.com	Search Engines	160,000,000	8.4%	3,600,000,000	No
19	sohu.com	Web Portals	140,000,000	7.6%	5,900,000,000	Yes
20	163.com	Web Portals	140,000,000	7.7%	6,500,000,000	Yes
21	windows.com	Windows OS	130,000,000	7%	540,000,000	Yes
22	hao123.com	Web Portals	120,000,000	6.3%	7,200,000,000	Yes
23	tudou.com	Online Video	120,000,000	6.3%	2,700,000,000	Yes
24	amazon.com	Shopping	120,000,000	6.3%	4,400,000,000	Yes
25	apple.com	Mac OS	110,000,000	5.8%	1,100,000,000	Yes
26	ebay.com	Auctions	110,000,000	5.8%	10,000,000,000	Yes
27	sogou.com	Search Engines	89,000,000	4.8%	2,300,000,000	Yes
28	mozilla.com	Internet Clients & Browsers	87,000,000	4.7%	590,000,000	No
29	yahoo.co.jp	Web Portals	87,000,000	4.7%	30,000,000,000	Yes
30	paypal.com	Merchant Services & Payment Systems	82,000,000	4.4%	1,700,000,000	Yes
31	tmall.com	Apparel	81,000,000	4.3%	2,100,000,000	Yes
32	go.com	Web Portals	81,000,000	4.4%	3,300,000,000	Yes
33	about.com	How-To&sbquo; DIY & Expert Content	81,000,000	4.3%	600,000,000	Yes
34	flickr.com	Photo & Image Sharing	81,000,000	4.3%	1,700,000,000	Yes
35	56.com	Online Media	80,000,000	4.3%	1,100,000,000	Yes
36	4399.com	Online Games	80,000,000	4.3%	4,800,000,000	Yes
37	linkedin.com	Social Networks	74,000,000	4%	2,300,000,000	Yes
38	xunlei.com	File Sharing & Hosting	74,000,000	4%	2,000,000,000	Yes
39	dailymotion.com	Online Media	73,000,000	3.9%	810,000,000	Yes
40	aol.com	Web Portals	72,000,000	3.9%	5,300,000,000	Yes
41	orkut.com	Social Networks	72,000,000	3.9%	4,400,000,000	Yes
42	ku6.com	Online Media	68,000,000	3.6%	540,000,000	Yes
43	bbc.co.uk	World News	67,000,000	3.6%	2,700,000,000	Yes
44	pps.tv	Online Video	67,000,000	3.6%	540,000,000	Yes
45	orkut.com.br	Social Networks	67,000,000	3.6%	53,000,000,000	No
46	cnet.com	Consumer Electronics	67,000,000	3.6%	450,000,000	Yes
47	craigslist.org	Classifieds	66,000,000	3.5%	24,000,000,000	No
48	ehow.com	How-To&sbquo; DIY & Expert Content	61,000,000	3.3%	280,000,000	Yes
49	weather.com	Weather	61,000,000	3.2%	1,200,000,000	Yes
50	4shared.com	File Sharing & Hosting	60,000,000	3.2%	2,500,000,000	Yes
51	imdb.com	Movie Reference	60,000,000	3.2%	1,200,000,000	Yes
52	myspace.com		60,000,000	3.2%	1,500,000,000	Yes
53	answers.com	General Reference	60,000,000	3.2%	250,000,000	Yes
54	fc2.com	Web Services	59,000,000	3.2%	3,300,000,000	Yes
55	mywebsearch.com	Search Engines	56,000,000	3%	1,200,000,000	Yes
56	mail.ru	Email & Messaging	55,000,000	2.9%	19,000,000,000	Yes
57	7k7k.com	Casual Games	55,000,000	3%	4,000,000,000	Yes
58	uol.com.br	Web Portals	55,000,000	3%	5,400,000,000	Yes
59	gocsgo.com		55,000,000	2.9%	180,000,000	No
60	alibaba.com	Import & Export	54,000,000	2.9%	1,100,000,000	Yes
61	skype.com	Voice & Video Chat	54,000,000	2.9%	490,000,000	Yes
62	badoo.com	Dating & Personals	51,000,000	2.7%	5,900,000,000	Yes
63	scribd.com	Social Networks	51,000,000	2.7%	160,000,000	Yes
64	cnn.com	Broadcast & Network News	50,000,000	2.7%	1,300,000,000	Yes
65	soku.com	Online Video	50,000,000	2.7%	780,000,000	Yes
66	babylon.com	Translation Tools & Resources	50,000,000	2.7%	790,000,000	Yes
67	yandex.ru	Search Engines	46,000,000	2.5%	14,000,000,000	Yes
68	2345.com	Web Portals	45,000,000	2.4%	2,100,000,000	Yes
69	renren.com	Social Networks	45,000,000	2.4%	3,300,000,000	Yes
70	megaupload.com	File Sharing & Hosting	45,000,000	2.4%	490,000,000	Yes
71	alot.com	Web Apps & Online Tools	45,000,000	2.4%	490,000,000	Yes
72	hp.com	Computer Hardware	45,000,000	2.4%	660,000,000	Yes
73	rakuten.co.jp	Shopping Portals & Search Engines	45,000,000	2.4%	4,000,000,000	Yes
74	goo.ne.jp	Web Portals	45,000,000	2.4%	870,000,000	Yes
75	netflix.com	DVD & Video Rentals	45,000,000	2.4%	2,500,000,000	Yes
76	softonic.com	Software	45,000,000	2.4%	370,000,000	Yes
77	blogger.com	Blogging Resources & Services	42,000,000	2.2%	1,100,000,000	No
78	360.cn	Antivirus & Malware	42,000,000	2.2%	800,000,000	No
79	alipay.com	Merchant Services & Payment Systems	42,000,000	2.3%	2,000,000,000	Yes
80	globo.com	Web Portals	41,000,000	2.2%	3,000,000,000	Yes
81	photobucket.com	Photo & Video Sharing	41,000,000	2.2%	600,000,000	Yes
82	bankofamerica.com	Banking	41,000,000	2.2%	2,500,000,000	Yes
83	discoverbing.com	Search Engines	41,000,000	2.2%	170,000,000	Yes
84	mediafire.com	File Sharing & Hosting	41,000,000	2.2%	370,000,000	Yes
85	partypoker.com		41,000,000	2.2%	130,000,000	Yes
86	camzap.com	Webcams & Virtual Tours	41,000,000	2.2%	140,000,000	No
87	ameblo.jp	Blogging Resources & Services	41,000,000	2.2%	1,700,000,000	Yes
88	odnoklassniki.ru	Social Networks	38,000,000	2%	14,000,000,000	Yes
89	terra.com.br	News	38,000,000	2%	1,700,000,000	Yes
90	naver.com	Search Engines	38,000,000	2%	23,000,000,000	Yes
91	zynga.com	Casual Games	38,000,000	2%	780,000,000	Yes
92	amazon.co.jp	Entertainment Media	38,000,000	2%	1,300,000,000	No
93	vkontakte.ru	Social Networks	38,000,000	2%	92,000,000,000	No
94	imageshack.us		38,000,000	2%	210,000,000	Yes
95	youdao.com	Blogging Resources & Services	38,000,000	2%	280,000,000	Yes
96	pconline.com.cn	Local News	38,000,000	2%	450,000,000	Yes
97	58.com	Classifieds	37,000,000	2%	960,000,000	Yes
